"","gene_name","glyma","desc"
"5231","LOC102666757","GLYMA_01G096700","granule-bound starch synthase 1, chloroplastic/amyloplastic"
"5232","LOC102666757","GLYMA_01G096700","granule-bound starch synthase 1, chloroplastic/amyloplastic"
"5233","LOC102666757","GLYMA_01G096700","granule-bound starch synthase 1, chloroplastic/amyloplastic"
"5234","LOC112997850","","small nucleolar RNA R71"
"5235","LOC100784501","GLYMA_01G096800","protein HAIKU1"
"5236",".",NA,NA
"5237",".",NA,NA
"5238",".",NA,NA
"5239",".",NA,NA
"5240","LOC102667359","","uncharacterized LOC102667359"
"5241","LOC102667359","","uncharacterized LOC102667359"
"5242","LOC100791384","GLYMA_01G097000","abscisic acid receptor PYR1-like protein"
"5243","LOC100791908","GLYMA_01G097100","mitochondrial carnitine/acylcarnitine carrier-like protein-like"
"5244","LOC100791908","GLYMA_01G097100","mitochondrial carnitine/acylcarnitine carrier-like protein-like"
"5245",".",NA,NA
"5246","LOC100776977","","uncharacterized LOC102667949"
"5247","LOC100776977","","uncharacterized LOC102667949"
"5248","LOC100776977","","uncharacterized LOC102667949"
"5249","LOC100776977","","uncharacterized LOC102667949"
"5250","LOC100776977","","uncharacterized LOC102667949"
"5251","LOC100776977","","uncharacterized LOC102667949"
"5252","LOC100776977","","uncharacterized LOC102667949"
"5253","LOC100776977","","uncharacterized LOC102667949"
"5254","LOC100776977","","uncharacterized LOC102667949"
"5255","LOC100776977","","uncharacterized LOC102667949"
"5256","LOC100776977","","uncharacterized LOC102667949"
"5257","LOC100776977","","uncharacterized LOC102667949"
"5258","LOC100776977","","uncharacterized LOC102667949"
"5259","LOC100776977","","uncharacterized LOC102667949"
"5260","LOC100776977","","uncharacterized LOC102667949"
"5261",".",NA,NA
"5262","LOC100777507","GLYMA_01G097400","phosphoenolpyruvate carboxykinase (ATP) 1"
"5263","LOC100777507","GLYMA_01G097400","phosphoenolpyruvate carboxykinase (ATP) 1"
"5264",".",NA,NA
"5265","LOC112997920","","small nucleolar RNA R71"
"5266","LOC100791745","GLYMA_01G097500","tRNA-dihydrouridine(20) synthase [NAD(P)+]-like"
"5267","LOC100791745","GLYMA_01G097500","tRNA-dihydrouridine(20) synthase [NAD(P)+]-like"
"5268","LOC100791745","GLYMA_01G097500","tRNA-dihydrouridine(20) synthase [NAD(P)+]-like"
"5269","LOC100791745","GLYMA_01G097500","tRNA-dihydrouridine(20) synthase [NAD(P)+]-like"
"5270","LOC102668653","","uncharacterized LOC102668653"
"5271","LOC100791745","GLYMA_01G097500","tRNA-dihydrouridine(20) synthase [NAD(P)+]-like"
"5272","LOC100792593","GLYMA_01G097700","protein RMD5 homolog"
"5273","LOC106794638","","uncharacterized LOC106794638"
"5274","LOC100779641","","protein PHYTOCHROME KINASE SUBSTRATE 1-like"
"5275","LOC102664823","","uncharacterized LOC102664823"
"5276","LOC100794006","GLYMA_01G097900","E3 ubiquitin-protein ligase WAVH1"
"5277","LOC113002367","","subtilisin-like protease SBT4.14"
"5278","LOC100781800","","protein PLASTID MOVEMENT IMPAIRED 2-like"
"5279","LOC112998022","","small nucleolar RNA R71"
"5280","LOC112998045","","small nucleolar RNA R71"
"5281","LOC112998061","","small nucleolar RNA R71"
"5282","LOC102665499","","uncharacterized LOC102665499"
"5283","LOC112997922","","small nucleolar RNA R71"
"5284","LOC102665756","","uncharacterized LOC102665756"
"5285","LOC100500373","GLYMA_01G098000","AUX/IAA superfamily protein"
"5286","LOC100500373","GLYMA_01G098000","AUX/IAA superfamily protein"
"5287","LOC102669268","GLYMA_01G098200","uncharacterized LOC102669268"
"5288","LOC102669268","GLYMA_01G098200","uncharacterized LOC102669268"
"5289","LOC102669268","GLYMA_01G098200","uncharacterized LOC102669268"
"5290","LOC102669268","GLYMA_01G098200","uncharacterized LOC102669268"
"5291","LOC112997876","","small nucleolar RNA R71"
"5292","LOC102669590","GLYMA_01G098300","uncharacterized LOC102669590"
"5293",".",NA,NA
"5294","LOC100795058","GLYMA_01G098400","probable serine/threonine-protein kinase PBL10"
"5295","LOC100795058","GLYMA_01G098400","probable serine/threonine-protein kinase PBL10"
"5296","LOC100795058","GLYMA_01G098400","probable serine/threonine-protein kinase PBL10"
"5297","LOC112997836","","small nucleolar RNA R71"
"5298","LOC100796466","GLYMA_01G098700","putative haloacid dehalogenase-like hydrolase"
"5299",".",NA,NA
"5300",".",NA,NA
"5301","LOC106798355","","uncharacterized LOC106798355"
"5302","LOC100787130","","ethylene-responsive transcription factor ERF086-like"
"5303","LOC100788196","","uncharacterized LOC100788196"
"5304","LOC100788196","","uncharacterized LOC100788196"
"5305","LOC100788196","","uncharacterized LOC100788196"
"5306","LOC100788196","","uncharacterized LOC100788196"
"5307","LOC100788196","","uncharacterized LOC100788196"
"5308","LOC100788196","","uncharacterized LOC100788196"
"5309","LOC100788196","","uncharacterized LOC100788196"
"5310","LOC100788196","","uncharacterized LOC100788196"
"5311","LOC100788196","","uncharacterized LOC100788196"
"5312","LOC100788196","","uncharacterized LOC100788196"
"5313","LOC100788196","","uncharacterized LOC100788196"
"5314","LOC100788196","","uncharacterized LOC100788196"
"5315","LOC100788728","GLYMA_01G099100","probable protein S-acyltransferase 16"
"5316","LOC100788728","GLYMA_01G099100","probable protein S-acyltransferase 16"
"5317",".",NA,NA
"5318","LOC102659807","GLYMA_01G099200","pentatricopeptide repeat-containing protein At5g03800"
"5319","MIR2111A","MIR2111, gma-MIR2111, gma-MIR2111a","microRNA MIR2111a"
"5320","MIR2111A","MIR2111, gma-MIR2111, gma-MIR2111a","microRNA MIR2111a"
"5321","MIR10197","gma-MIR10197","microRNA MIR10197"
"5322","MIR10197","gma-MIR10197","microRNA MIR10197"
"5323","LOC102660161","","uncharacterized LOC102660161"
"5324","LOC112997830","","small nucleolar RNA R71"
"5325","LOC100789255","DQ04_11871010","tyrosine protein kinase"
"5326","LOC113002368","","uncharacterized protein Mb2253c-like"
"5327","LOC112997880","","small nucleolar RNA R71"
"5328","LOC106799712","","uncharacterized LOC106799712"
"5329",".",NA,NA
"5330",".",NA,NA
"5331",".",NA,NA
"5332","LOC100797537","GLYMA_01G099700","uracil phosphoribosyltransferase-like"
"5333",".",NA,NA
"5334","LOC106794644","","uncharacterized LOC106794644"
"5335","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5336","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5337","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5338","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5339","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5340","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5341","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5342","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5343","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5344",".",NA,NA
"5345","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5346",".",NA,NA
"5347","ALDH18B1","GLYMA_01G099800, GmALDH18B1","delta-1-pyrroline-5-carboxylate synthase"
"5348","LOC100790843","","L-type lectin-domain containing receptor kinase S.4-like"
"5349","LOC113002369","","uncharacterized LOC113002369"
"5350","LOC100792420","GLYMA_01G100000","putative cyclin-D7-1"
"5351","LOC100799119","GLYMA_01G100100","mitotic-spindle organizing protein 1B"
"5352","LOC100799119","GLYMA_01G100100","mitotic-spindle organizing protein 1B"
"5353","LOC100799640","GLYMA_01G100200","glucose-induced degradation protein 4 homolog"
"5354","LOC102661373","GLYMA_01G100400","F-box/LRR-repeat protein At3g48880"
"5355",".",NA,NA
"5356","LOC100800175","GLYMA_01G100600","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
"5357","LOC100800175","GLYMA_01G100600","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
"5358","LOC100800175","GLYMA_01G100600","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
"5359","LOC100800175","GLYMA_01G100600","succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial"
"5360","LOC112997754","","uncharacterized LOC112997754"
"5361",".",NA,NA
"5362","LOC102667450","","uncharacterized LOC102667450"
"5363","LOC100800706","GLYMA_01G100900","putative phosphoesterase"
"5364","LOC100801247","GLYMA_01G101000","L-type lectin-domain containing receptor kinase S.4"
"5365","LOC112997755","GLYMA_01G101050v4","phosphoribosylaminoimidazole carboxylase, chloroplastic-like"
"5366","LOC106799716","","vegetative cell wall protein gp1-like"
"5367","LOC100796635","GLYMA_01G101100","uncharacterized LOC100796635"
"5368","LOC121173278","","uncharacterized LOC121173278"
"5369","LOC102667574","","rho GTPase-activating protein 7-like"
"5370","LOC112997883","","small nucleolar RNA R71"
"5371","LOC102667956","","uncharacterized LOC102667956"
"5372","LOC100797711","","asparagine--tRNA ligase, cytoplasmic 1-like"
"5373","LOC100798238","","probable pinoresinol-lariciresinol reductase 3"
"5374","LOC112997879","","small nucleolar RNA R71"
"5375","LOC100801427","GLYMA_01G101800","zinc finger protein 10"
"5376",".",NA,NA
"5377","LOC100801961","","O-fucosyltransferase 15-like"
"5378","LOC102662150","","uncharacterized LOC102662150"
"5379","LOC113002370","","uncharacterized LOC113002370"
"5380","LOC100803539","","uncharacterized LOC113002371"
"5381","LOC121173294","","uncharacterized LOC121173294"
"5382","LOC102662220","GLYMA_01G102200","uncharacterized LOC102662220"
"5383","LOC100305924","GLYMA_01G102300","uncharacterized LOC100305924"
"5384",".",NA,NA
"5385","LOC100306188","GLYMA_01G102400","MARVEL domain-containing protein"
"5386","LOC121174670","GLYMA_01G102500v4","NADPH-dependent aldo-keto reductase, chloroplastic-like"
"5387","LOC121174671","","cytochrome P450 76C3-like"
"5388","LOC121174672","","NADPH-dependent aldo-keto reductase, chloroplastic-like"
"5389","LOC100801791","GLYMA_01G102600","NADPH-dependent aldo-keto reductase, chloroplastic"
"5390",".",NA,NA
"5391",".",NA,NA
"5392",".",NA,NA
"5393","LOC100806207","","NADPH-dependent aldo-keto reductase, chloroplastic-like"
"5394","LOC121174676","","uncharacterized LOC121174676"
"5395","LOC102669801","","uncharacterized LOC102669801"
"5396","LOC106798363","","uncharacterized LOC106798363"
"5397","LOC106798363","","uncharacterized LOC106798363"
"5398","LOC100802323","GLYMA_01G102900","NADPH-dependent aldo-keto reductase, chloroplastic"
"5399","LOC100802323","GLYMA_01G102900","NADPH-dependent aldo-keto reductase, chloroplastic"
"5400","LOC100802323","GLYMA_01G102900","NADPH-dependent aldo-keto reductase, chloroplastic"
"5401","LOC100802323","GLYMA_01G102900","NADPH-dependent aldo-keto reductase, chloroplastic"
"5402","LOC100802323","GLYMA_01G102900","NADPH-dependent aldo-keto reductase, chloroplastic"
"5403","LOC112997934","","small nucleolar RNA R71"
"5404",".",NA,NA
"5405","LOC100802853","GLYMA_01G103100","2-oxoisovalerate dehydrogenase subunit beta, mitochondrial-like"
"5406","LOC100803376","GLYMA_01G103200","hsp70 nucleotide exchange factor fes1"
"5407",".",NA,NA
"5408",".",NA,NA
"5409",".",NA,NA
"5410","LOC102670216","","uncharacterized LOC102670216"
"5411","LOC100803911","GLYMA_01G103500","auxin response factor 9"
"5412",".",NA,NA
"5413",".",NA,NA
"5414",".",NA,NA
"5415","LOC100803911","GLYMA_01G103500","auxin response factor 9"
"5416","LOC102670476","","uncharacterized LOC102670476"
"5417","LOC112997848","","small nucleolar RNA R71"
"5418","LOC112997956","","small nucleolar RNA R71"
"5419","LOC112997832","","small nucleolar RNA R71"
"5420","LOC106799725","","uncharacterized LOC106799725"
"5421","LOC100804974","GLYMA_01G104100","isochorismate synthase, chloroplastic"
"5422","LOC100804974","GLYMA_01G104100","isochorismate synthase, chloroplastic"
"5423","LOC100804974","GLYMA_01G104100","isochorismate synthase, chloroplastic"
"5424","LOC100804974","GLYMA_01G104100","isochorismate synthase, chloroplastic"
"5425","LOC100805512","GLYMA_01G104200","BEL1-like homeodomain protein 9"
"5426","LOC100814767","","uncharacterized LOC100814767"
"5427","LOC100815294","GLYMA_01G104600","uncharacterized LOC100815294"
"5428","LOC100815294","GLYMA_01G104600","uncharacterized LOC100815294"
"5429","LOC102659812","","uncharacterized LOC102659812"
"5430",".",NA,NA
"5431","LOC100816888","GLYMA_01G104800","aldehyde oxidase GLOX"
"5432","LOC100806045","GLYMA_01G105000","protein NRT1/ PTR FAMILY 5.6"
"5433",".",NA,NA
"5434",".",NA,NA
"5435","LOC102664178","GLYMA_01G105300","uncharacterized LOC102664178"
"5436","LOC100806570","GLYMA_01G105400","uncharacterized LOC100806570"
"5437","LOC112997845","","small nucleolar RNA R71"
"5438","LOC100807110","GLYMA_01G105500","proteasome subunit alpha type-2-A"
"5439",".",NA,NA
"5440","LOC100807110","GLYMA_01G105500","proteasome subunit alpha type-2-A"
"5441","LOC100775733","GLYMA_01G105600","uncharacterized LOC100775733"
"5442","LOC100775733","GLYMA_01G105600","uncharacterized LOC100775733"
"5443","LOC106799726","","uncharacterized LOC106799726"
"5444","LOC100776810","","rop guanine nucleotide exchange factor 7-like"
"5445","LOC102660715","","uncharacterized LOC102660715"
"5446","GSTU4","AT2G29460, ATGSTU4, F16P2.16, F16P2_16, GLUTATHIONE S-TRANSFERASE 22, GST22, glutathione S-transferase tau 4","glutathione S-transferase tau 4"
"5447","LOC100306119","GLYMA_01G106100, GSTU5, GmGSTU2","tau class glutathione S-transferase"
"5448","LOC100499951","GLYMA_01G106200","uncharacterized LOC100499951"
"5449","LOC113002374","","uncharacterized LOC113002374"
"5450","LOC121174691","","uncharacterized LOC121174691"
"5451","LOC102664770","","uncharacterized LOC102664770"
"5452","LOC102664770","","uncharacterized LOC102664770"
"5453","LOC102664770","","uncharacterized LOC102664770"
"5454","LOC102664770","","uncharacterized LOC102664770"
"5455","LOC102661377","","uncharacterized LOC102661377"
"5456","LOC100781623","","digalactosyldiacylglycerol synthase 1, chloroplastic-like"
"5457","LOC100782156","GLYMA_01G106500","uncharacterized LOC100782156"
"5458","LOC102665301","","uncharacterized LOC102665301"
"5459","LOC100527937","GLYMA_01G106600","FKBP-type peptidyl-prolyl cis-trans isomerase family protein"
"5460",".",NA,NA
"5461","LOC100808693","GLYMA_01G106700","copper transporter 2"
"5462","LOC100808693","GLYMA_01G106700","copper transporter 2"
"5463","LOC100784294","","uncharacterized LOC100784294"
"5464","LOC112997846","","small nucleolar RNA R71"
"5465","LOC111255647","GLYMA_01G106800","heat shock protein"
"5466","LOC102662154","","uncharacterized LOC102662154"
"5467","LOC112997856","","small nucleolar RNA R71"
"5468","LOC100810678","","GDSL esterase/lipase At5g33370-like"
"5469","LOC102665709","GLYMA_01G107000","uncharacterized LOC102665709"
"5470",".",NA,NA
"5471","LOC100811218","GLYMA_01G107100","uncharacterized LOC100811218"
"5472","LOC102662274","","uncharacterized LOC102662274"
"5473","LOC100811740","GLYMA_01G107500","transcription factor MYB1"
"5474","LOC100788552","","sucrose synthase 2-like"
"5475","LOC100812277","GLYMA_01G107700","uncharacterized LOC100812277"
"5476",".",NA,NA
"5477",".",NA,NA
"5478",".",NA,NA
"5479",".",NA,NA
"5480",".",NA,NA
"5481",".",NA,NA
"5482",".",NA,NA
"5483","LOC100813713","","probable serine/threonine-protein kinase At5g41260-like"
"5484","LOC102662946","","uncharacterized LOC102662946"
"5485","LOC100814250","GLYMA_01G108000","phosphatidylinositol:ceramide inositolphosphotransferase 1"
"5486","LOC113002375","","pentatricopeptide repeat-containing protein At2g22070-like"
"5487","LOC100814779","GLYMA_01G108200","laccase-7"
"5488","LOC100814779","GLYMA_01G108200","laccase-7"
"5489","LOC100791736","","laccase-7-like"
"5490","LOC112998047","","U6 spliceosomal RNA"
"5491","LOC100792259","GLYMA_01G108400","laccase-7"
"5492","LOC106798372","","uncharacterized LOC106798372"
"5493","LOC100815307","GLYMA_01G108700","putative PAR1 protein"
"5494","TRNAN-GUU","TRNAN-GUU, TRNAN37","tRNA-Asn (anticodon GTT) 5-1"
"5495","LOC102667180","GLYMA_01G108800","uncharacterized LOC102667180"
"5496","LOC121174692","","uncharacterized LOC121174692"
"5497","LOC102665376","GLYMA_01G108900","uncharacterized LOC102665376"
"5498","LOC100815839","GLYMA_01G109100","uncharacterized LOC100815839"
"5499","LOC100815839","GLYMA_01G109100","uncharacterized LOC100815839"
"5500","LOC106799742","","protein NYNRIN-like"
"5501","LOC100816374","GLYMA_01G109200","L-type lectin-domain containing receptor kinase I.7"
"5502","LOC100816898","GLYMA_01G109300","tubulin beta-2 chain-like"
"5503",".",NA,NA
"5504","LOC100817967","GLYMA_01G109500","SOUL heme-binding domain-containing protein"
"5505","LOC100818505","GLYMA_01G109600","immediate early response 3-interacting protein 1"
"5506","LOC100818505","GLYMA_01G109600","immediate early response 3-interacting protein 1"
"5507","LOC100818505","GLYMA_01G109600","immediate early response 3-interacting protein 1"
"5508","LOC100818505","GLYMA_01G109600","immediate early response 3-interacting protein 1"
"5509","LOC100819388","GLYMA_01G109700","fructokinase-like 1, chloroplastic"
"5510","LOC100798057","GLYMA_01G109800","O-fucosyltransferase 19"
"5511","LOC102668735","","protein ALP1-like"
"5512","LOC102664533","GLYMA_01G110000","uncharacterized protein At2g29880"
"5513","LOC100819920","GLYMA_01G110100","uncharacterized LOC100819920"
"5514","LOC100799112","GLYMA_01G110200","GDP-mannose transporter GONST3"
"5515","LOC100799112","GLYMA_01G110200","GDP-mannose transporter GONST3"
"5516","LOC102664659","","uncharacterized LOC102664659"
"5517","LOC100799632","GLYMA_01G110300","probable sugar phosphate/phosphate translocator At3g11320"
"5518","LOC102665180","","uncharacterized LOC102665180"
"5519","LOC100820456","GLYMA_01G110400","mitochondrial uncoupling protein 1"
"5520","LOC100775554","GLYMA_01G110500","reticulon-like protein B12"
"5521","LOC100305658","GLYMA_01G110600","uncharacterized LOC100305658"
"5522","LOC100305658","GLYMA_01G110600","uncharacterized LOC100305658"
"5523","LOC100801783","","amino acid transporter AVT1I-like"
"5524","LOC100776098","GLYMA_01G110900","ataxin-3 homolog"
"5525","LOC100776633","GLYMA_01G111200","mRNA-capping enzyme"
"5526","LOC100776633","GLYMA_01G111200","mRNA-capping enzyme"
"5527","LOC100776633","GLYMA_01G111200","mRNA-capping enzyme"
"5528","LOC100776633","GLYMA_01G111200","mRNA-capping enzyme"
"5529","LOC100776633","GLYMA_01G111200","mRNA-capping enzyme"
"5530",".",NA,NA
"5531",".",NA,NA
"5532","LOC121175233","","uncharacterized LOC121175233"
"5533","LOC100500591","GLYMA_01G111300","protein DEFECTIVE IN EXINE FORMATION 1"
"5534","LOC100500591","GLYMA_01G111300","protein DEFECTIVE IN EXINE FORMATION 1"
"5535","LOC100777691","GLYMA_01G111400","probable pectinesterase/pectinesterase inhibitor 21"
"5536","LOC100778224","GLYMA_01G111500","uncharacterized LOC100778224"
"5537","LOC106798384","","uncharacterized LOC106798384"
"5538","LOC106798384","","uncharacterized LOC106798384"
"5539","LOC106798384","","uncharacterized LOC106798384"
"5540","LOC106798384","","uncharacterized LOC106798384"
"5541","LOC106798384","","uncharacterized LOC106798384"
"5542","LOC106798384","","uncharacterized LOC106798384"
"5543","LOC106798384","","uncharacterized LOC106798384"
"5544","LOC102666379","GLYMA_01G111800","uncharacterized protein At2g29880"
"5545","LOC100805504","","uncharacterized LOC100805504"
"5546","LOC100778766","","CENP-B homolog protein 2-like"
"5547","LOC100807102","GLYMA_01G111900","protein OCTOPUS"
"5548","LOC102666886","","uncharacterized LOC102666886"
"5549","LOC112998040","","small nucleolar RNA R71"
"5550","LOC100807633","GLYMA_01G112100","probable steroid-binding protein 3"
"5551","LOC100808685","","TMV resistance protein N-like"
"5552","LOC100809226","","uncharacterized LOC100809226"
"5553","LOC100810294","GLYMA_01G112400","cytochrome P450 94B3"
"5554","LOC100810819","","uncharacterized LOC100810819"
"5555","LOC100779289","GLYMA_01G112500","protein NRT1/ PTR FAMILY 8.1"
"5556","LOC100779289","GLYMA_01G112500","protein NRT1/ PTR FAMILY 8.1"
"5557","LOC113002378","","uncharacterized LOC113002378"
"5558","LOC102667787","","uncharacterized LOC102667787"
"5559","LOC113002380","","piriformospora indica-insensitive protein 2-like"
"5560","LOC100779825","GLYMA_01G112600","laccase-4"
"5561",".",NA,NA
"5562","LOC100813517","GLYMA_01G112700","transcription factor DIVARICATA"
"5563","LOC100813517","GLYMA_01G112700","transcription factor DIVARICATA"
"5564","LOC100813517","GLYMA_01G112700","transcription factor DIVARICATA"
"5565","LOC113002382","","receptor-like protein kinase 5"
"5566","LOC102667909","GLYMA_01G112800","probable pyridoxal 5'-phosphate synthase subunit pdx2"
"5567","LOC100780358","GLYMA_01G112900","BAHD acyltransferase DCR"
"5568",".",NA,NA
"5569","LOC121175223","","uncharacterized LOC121175223"
"5570","LOC100780899","GLYMA_01G113000","sulfoquinovosyl transferase SQD2"
"5571","LOC100781433","GLYMA_01G113100","uncharacterized LOC100781433"
"5572","LOC102668164","","uncharacterized LOC102668164"
"5573","LOC100817242","GLYMA_01G113200","glycerol-3-phosphate 2-O-acyltransferase 6"
"5574","LOC102668301","GLYMA_01G113300","protein indeterminate-domain 11"
"5575","LOC100817770","","3-hydroxyisobutyryl-CoA hydrolase-like protein 2, mitochondrial"
"5576","PIP1-9","GLYMA_01G113400, GmPIP1;9","aquaporin PIP1-9"
"5577","LOC113002383","","GRF1-interacting factor 1-like"
"5578","LOC102669103","","uncharacterized LOC102669103"
"5579","LOC102669231","GLYMA_01G113800","B3 domain-containing protein At2g31720"
"5580","LOC100776090","","auxin transporter-like protein 4"
"5581","LOC112997852","","small nucleolar RNA R71"
"5582","LOC106794663","","uncharacterized LOC106794663"
"5583","LOC100778215","GLYMA_01G113900","high mobility group B protein 7"
"5584",".",NA,NA
"5585",".",NA,NA
"5586","LAX1","HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD","isocitrate dehydrogenase (NADP(+)) 1"
"5587","LAX1","HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD","isocitrate dehydrogenase (NADP(+)) 1"
"5588","LAX1","HEL-216, HEL-S-26, IDCD, IDH, IDP, IDPC, PICD","isocitrate dehydrogenase (NADP(+)) 1"
"5589","LOC106798388","","uncharacterized LOC106798388"
"5590","LOC121173440","","uncharacterized LOC121173440"
"5591","LOC106799758","","probable WRKY transcription factor 39"
"5592","LOC102670028","","uncharacterized LOC102670028"
"5593","LOC112997831","","small nucleolar RNA R71"
"5594","LOC100780891","GLYMA_01G114100","ribulose bisphosphate carboxylase/oxygenase activase, chloroplastic"
"5595","LOC102670433","","uncharacterized LOC102670433"
"5596","MIR5673","gma-MIR5673","microRNA MIR5673"
"5597","MIR5673","gma-MIR5673","microRNA MIR5673"
"5598","MIR4380A","gma-MIR4380a","microRNA MIR4380a"
"5599","MIR4380A","gma-MIR4380a","microRNA MIR4380a"
"5600","LOC102659362","","uncharacterized LOC102659362"
"5601","LOC102659498","GLYMA_01G114400","UPF0481 protein At3g47200"
"5602","LOC102662442","","glucose-6-phosphate/phosphate translocator 2, chloroplastic-like"
"5603",".",NA,NA
"5604","LOC100783058","GLYMA_01G114800","30S ribosomal protein S31, chloroplastic"
"5605","LOC100781975","GLYMA_01G114900","lactosylceramide 4-alpha-galactosyltransferase"
"5606","LOC121174701","","uncharacterized LOC121174701"
"5607","LOC100784126","GLYMA_01G115000","uncharacterized LOC100784126"
"5608","LOC100784126","GLYMA_01G115000","uncharacterized LOC100784126"
"5609","LOC100784126","GLYMA_01G115000","uncharacterized LOC100784126"
"5610","LOC100783050","","uncharacterized LOC102663270"
"5611","LOC100783050","","uncharacterized LOC102663270"
"5612","LOC100783050","","uncharacterized LOC102663270"
"5613","LOC100783050","","uncharacterized LOC102663270"
"5614","LOC100783050","","uncharacterized LOC102663270"
"5615","LOC106794665","","uncharacterized LOC106794665"
"5616","LOC100783583","GLYMA_01G115400","uncharacterized LOC100783583"
"5617",".",NA,NA
"5618",".",NA,NA
"5619",".",NA,NA
"5620","LOC100527430","GLYMA_01G115500","uncharacterized LOC100527430"
"5621","LOC100527430","GLYMA_01G115500","uncharacterized LOC100527430"
"5622",".",NA,NA
"5623","LOC106798398","GLYMA_01G115600","UPF0481 protein At3g47200"
"5624","LOC102667062","","uncharacterized LOC106798403"
"5625","LOC121174704","","uncharacterized LOC121174704"
"5626","LOC102663743","GLYMA_01G115700","UPF0481 protein At3g47200"
"5627","LOC102663876","","uncharacterized LOC102663876"
"5628","LOC100785180","GLYMA_01G115900","chlorophyll a-b binding protein CP29.2, chloroplastic"
"5629","LOC100305961","GLYMA_01G116000","uncharacterized LOC100305961"
"5630","LOC100305961","GLYMA_01G116000","uncharacterized LOC100305961"
"5631","LOC100305961","GLYMA_01G116000","uncharacterized LOC100305961"
"5632","LOC100305961","GLYMA_01G116000","uncharacterized LOC100305961"
"5633","LOC100305961","GLYMA_01G116000","uncharacterized LOC100305961"
"5634","LOC100305961","GLYMA_01G116000","uncharacterized LOC100305961"
"5635","LOC100305961","GLYMA_01G116000","uncharacterized LOC100305961"
"5636",".",NA,NA
"5637",".",NA,NA
"5638","LOC100786227","GLYMA_01G116100","probable pyridoxal 5'-phosphate synthase subunit PDX2"
"5639","LOC100786227","GLYMA_01G116100","probable pyridoxal 5'-phosphate synthase subunit PDX2"
"5640","LOC100787307","GLYMA_01G116300","alcohol dehydrogenase-like 4"
"5641",".",NA,NA
"5642","LOC100787832","","alcohol dehydrogenase-like 3"
"5643","LOC112997763","","uncharacterized LOC112997763"
"5644","LOC112997763","","uncharacterized LOC112997763"
"5645","LOC112997763","","uncharacterized LOC112997763"
"5646","LOC100785720","GLYMA_01G116700","alcohol dehydrogenase-like 4"
"5647",".",NA,NA
"5648","LOC121174707","","secreted RxLR effector protein 161-like"
"5649","LOC100788900","","thylakoid ADP,ATP carrier protein, chloroplastic-like"
"5650","LOC100791529","GLYMA_01G117000","receptor-like protein 7"
"5651","LOC121174713","","receptor-like protein 6"
"5652","LOC102661051","","receptor-like protein 49"
"5653","LOC102661200","","oxysterol-binding protein-related protein 4C-like"
"5654","LOC102664945","GLYMA_01G117200","receptor-like protein 54"
"5655","LOC102664945","GLYMA_01G117200","receptor-like protein 54"
"5656","LOC102661332","","tubulin alpha-2 chain-like"
"5657","LOC100795227","","transcription initiation factor TFIID subunit 15-like"
"5658","LOC102661583","","uncharacterized LOC102661583"
"5659","LOC100786762","GLYMA_01G117800","transcription factor bHLH140"
"5660","LOC100796821","GLYMA_01G117900","G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290"
"5661","LOC100796821","GLYMA_01G117900","G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290"
"5662","LOC100796821","GLYMA_01G117900","G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290"
"5663","LOC100796821","GLYMA_01G117900","G-type lectin S-receptor-like serine/threonine-protein kinase At4g27290"
"5664","LOC100787315","GLYMA_01G118000","pyruvate decarboxylase 2"
"5665","MIR4406","gma-MIR4406","microRNA MIR4406"
"5666","MIR4406","gma-MIR4406","microRNA MIR4406"
"5667","LOC121172805","","uncharacterized LOC121172805"
"5668","LOC100787842","GLYMA_01G118200","plant nuclear matrix 1"
"5669",".",NA,NA
"5670","LOC102661998","","uncharacterized LOC102661998"
"5671","LOC100798947","","probable LRR receptor-like serine/threonine-protein kinase At1g07650-like"
